"#","Establishment Name","Training Course","Min. Qualification for Course","Training Duration (Months)","Prescribed Min. Stipend (Monthly)","No. of Vacancies","Training Location (District)"
"926","I K CONTRACTOR AND SUPPLIERS","Facility Cleaning Professional","12th","12 months","₹ 8000","7","Dewas (DEWAS)"
"927","POLY TECH","Helper Fabrication","12th","12 months","₹ 8000","7","Dewas (DEWAS)"
"928","MADHYA PRADESH POWER GENERATING COMPANY LIMITED","Civil Engineering","Diploma (Engineering)","12 months","₹ 9000","7","SARNI  (BETUL)"
"929","IPCA LABORATORIES LIMITED","Chemist - Production (Pharma, Cosmetics & Biologics): API Manufacturing","Diploma (Engineering)","12 months","₹ 9000","7","Indore (INDORE)"
"930","NCC LIMITED","Civil Engineering","Diploma (Engineering)","12 months","₹ 9000","7","Jabalpur (JABALPUR)"
"931","VKSC INFRAPROJECTS LIMITED","Civil Engineering","Diploma (Engineering)","12 months","₹ 9000","7","bhopal (BHOPAL)"
"932","ADITI ELECTRICALS","Electrician","12th","12 months","₹ 8000","7","JABALPUR  (JABALPUR)"
"933","MADHYA PRADESH POORV KSHETRA VIDYUT VITARAN COMPANY LTD","Electrical Engineering","Diploma (Engineering)","12 months","₹ 9000","7","REWA (REWA)"
"934","MAA ASSOCIATE AND TRANSPORTS PRIVATE LIMITED","TRANSPORT COORDINATOR","12th","12 months","₹ 8000","7","Indore (INDORE)"
"935","MAA ASSOCIATE AND TRANSPORTS PRIVATE LIMITED","TRANSPORT COORDINATOR","12th","12 months","₹ 8000","7","Bhopal  (BHOPAL)"
"936","MAA ASSOCIATE AND TRANSPORTS PRIVATE LIMITED","TRANSPORT COORDINATOR","12th","12 months","₹ 8000","7","Jabalpur (JABALPUR)"
"937","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Electrical Engineering","Diploma (Engineering)","12 months","₹ 9000","7","GUNA (GUNA)"
"938","MADHYA PRADESH POORV KSHETRA VIDYUT VITARAN COMPANY LTD","Lineman","12th","12 months","₹ 8000","7","SATNA (SATNA)"
"939","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Electrical Engineering","Diploma (Engineering)","12 months","₹ 9000","7","BHOPAL (BHOPAL)"
"940","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Electrical Engineering","Diploma (Engineering)","12 months","₹ 9000","7","SEHORE (SEHORE)"
"941","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Electrical Engineering","Diploma (Engineering)","12 months","₹ 9000","7","VIDISHA (VIDISHA)"
"942","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Electrical Engineering","Diploma (Engineering)","12 months","₹ 9000","7","RAJGARH (RAJGARH)"
"943","PATEL ENGINEERING LIMITED","EHS Steward","12th","12 months","₹ 8000","7","KATNI (KATNI)"
"944","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Stenographer (English)","12th","12 months","₹ 8000","7","GWALIOR (GWALIOR)"
"945","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Stenographer (English)","12th","12 months","₹ 8000","7","GUNA (GUNA)"
"946","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Stenographer (English)","12th","12 months","₹ 8000","7","SHIVPURI (SHIVPURI)"
"947","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Stenographer (Hindi)","12th","12 months","₹ 8000","7","GUNA (GUNA)"
"948","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Stenographer (Hindi)","12th","12 months","₹ 8000","7","RAISEN (RAISEN)"
"949","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Stenographer (Hindi)","12th","12 months","₹ 8000","7","GWALIOR (GWALIOR)"
"950","RAJSHREE ENGINEERING PVT LTD","Process Plant Operator","12th","12 months","₹ 8000","7","pithampur (DHAR)"
"951","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Computer Operator and Programming Assistant","12th","12 months","₹ 8000","7","GWALIOR (GWALIOR)"
"952","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Computer Operator and Programming Assistant","12th","12 months","₹ 8000","7","GUNA (GUNA)"
"953","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Computer Operator and Programming Assistant","12th","12 months","₹ 8000","7","RAISEN (RAISEN)"
