"#","Establishment Name","Training Course","Min. Qualification for Course","Training Duration (Months)","Prescribed Min. Stipend (Monthly)","No. of Vacancies","Training Location (District)"
"72","COMMUNITY ACTION THROUGH MOTIVATION PROGRAMME CAMP","Customer Care Executive-Domestic- Voice_V3","12th","12 months","₹ 8000","70","Naya Raipur (RAIPUR)"
"73","OFFSHORE INFRASTRUCTURES LIMITED","Pump Operator Cum Mechanic","12th","12 months","₹ 8000","70","Shamsabad  (VIDISHA)"
"74","VE COMMERCIAL VEHICLES LIMITED","Machinist","12th","12 months","₹ 8000","70","PITHAMPUR (DHAR)"
"75","BHASKAR INDUSTRIES PRIVATE LIMITED","Loom Weaver and Twisting Operator (LWTO)","12th","12 months","₹ 8000","70","bhopal (RAISEN)"
"76","VE COMMERCIAL VEHICLES LIMITED","Welder (Gas and Electric)","12th","12 months","₹ 8000","70","PITHAMPUR (DHAR)"
"77","RAVI SECURITY ORGANISATION PRIVATE LIMITED","Packer","12th","12 months","₹ 8000","68","malanpur bhind (BHIND)"
"78","MADHYA PREADESH PASCHIM KSHETRA VIDYUT VITRAN COMPANY LIMITED","Electrician","12th","12 months","₹ 8000","68","Ratlam Circle (RATLAM)"
"79","BALAJI WAFERS PRIVATE LIMITED","Packing Machine Worker- Food processing","12th","12 months","₹ 8000","67","INDORE (INDORE)"
"80","HITECH COMPETENT BUILDERS PRIVATE LIMITED","Helper Mason","12th","12 months","₹ 8000","66","Pithampur (DHAR)"
"81","MADHYA PREADESH PASCHIM KSHETRA VIDYUT VITRAN COMPANY LIMITED","Electrician","12th","12 months","₹ 8000","66","Dhar Circle  (DHAR)"
"82","TATA PROJECTS LIMITED","Helper Mason","12th","12 months","₹ 8000","65","SAGAR  (SAGAR)"
"83","MADHYA PREADESH PASCHIM KSHETRA VIDYUT VITRAN COMPANY LIMITED","Electrician","12th","12 months","₹ 8000","62","Shajapur Circle (SHAJAPUR)"
"84","MADHYA PREADESH PASCHIM KSHETRA VIDYUT VITRAN COMPANY LIMITED","Electrician","12th","12 months","₹ 8000","60","Neemuch Circle  (NEEMUCH)"
"85","CASE NEW HOLLAND CONSTRUCTION EQUIPMENT (INDIA) PRIVATE LIMITED","Automotive Assembly Operator","12th","12 months","₹ 8000","60","pithampur (DHAR)"
"86","VE COMMERCIAL VEHICLES LIMITED","Machinist (Grinder)","12th","12 months","₹ 8000","60","Dewas (DEWAS)"
"87","VE COMMERCIAL VEHICLES LIMITED","Mechanic Diesel","12th","12 months","₹ 8000","60","PITHAMPUR (DHAR)"
"88","VE COMMERCIAL VEHICLES LIMITED","Mechanic (Motor Vehicle)","12th","12 months","₹ 8000","60","PITHAMPUR (DHAR)"
"89","COMMERCIAL SYN BAGS LIMITED","Finisher and Packer AMH_Q2255 V 2.0","12th","12 months","₹ 8000","60","Pithampur (DHAR)"
"90","VE COMMERCIAL VEHICLES LIMITED","Fitter","12th","12 months","₹ 8000","60","Dewas (DEWAS)"
"91","RAKSHAK SECURITAS PRIVATE LIMITED","Helper - Utility Hand Plant Operations","12th","09 months","₹ 8000","60","BHOPAL (BHOPAL)"
"92","JAMNA AUTO INDUSTRIES LTD","Technician (Automotive Manufacturing)","12th","12 months","₹ 8000","60","MALANPUR (BHIND)"
"93","TRIDENT LIMITED","Shuttleless Loom Operator - Airjet Loom","12th","12 months","₹ 8000","60","BUDHNI (SEHORE)"
"94","TULSYAN SECURITY SERVICES PRIVATE LIMITED","Security Guard","12th","12 months","₹ 8000","60","Indore (INDORE)"
"95","COMMERCIAL SYN BAGS LIMITED","Sewing Machine Operator","12th","12 months","₹ 8000","60","Pithampur  (DHAR)"
"96","INNOVISION LIMITED","General Housekeeper (Household and Small Establishment) V2.0","12th","09 months","₹ 8000","59","Gulbai Tekra (AHMADABAD)"
"97","ACC LIMITED","Mechanic Mining Machinery","12th","12 months","₹ 8000","58","Kymore (KATNI)"
"98","DIVINE WASTE MANAGEMENT AND SERVICES","Field Survey Enumerator","12th","12 months","₹ 8000","52","indore (INDORE)"
"99","AQUA CLEAN SERVICES PVT LTD","General Housekeeper (Household and Small Establishment) V2.0","12th","09 months","₹ 8000","50","Bhopal (BHOPAL)"
"100","SIGMA INFOTECH","General Housekeeper (Household and Small Establishment) V2.0","12th","09 months","₹ 8000","50","Bhopal (BHOPAL)"
"101","PRATIBHA SYNTEX LIMITED","Electrician","12th","12 months","₹ 8000","50","DHAR (DHAR)"
"102","VARDHMAN TEXTILES LIMITED","Draw Frame Operator | V 3.0","12th","12 months","₹ 8000","50","Budni (SEHORE)"
"103","Shri Aurobindo Institute Of Medical Sciences","Dresser (Medical)","12th","12 months","₹ 8000","50","INDORE (INDORE)"
"104","JK TYRE & INDUSTRIES LIMITED","Electrical Engineering","Diploma (Engineering)","12 months","₹ 9000","50","MORENA (MORENA)"
"105","TRANSASIA BIO MEDICALS LIMITED","Bio-Medical Engineering","Graduate(Enginnering)","12 months","₹ 10000","50","Bhopal (BHOPAL)"
"106","TRIDENT LIMITED","Blowroom Operator | V 3.0","12th","12 months","₹ 8000","50","BUDHNI (SEHORE)"
"107","WORLDWIDE SMALL DIAMONDS MANUFACTURING PRIVATE LIMITED","Bottom Polisher_Version 3.0","12th","12 months","₹ 8000","50","BHOPAL (BHOPAL)"
"108","VE COMMERCIAL VEHICLES LTD BUS BODY MFG UNIT","Automotive Accessory Fitter","12th","12 months","₹ 8000","50","BAGGAD (DHAR)"
"109","MAHLE ENGINE COMPONENTS INDIA PRIVATE LIMITED","Automotive CNC Machining Technician","12th","12 months","₹ 8000","50","Pithampur (DHAR)"
"110","VARDHMAN TEXTILES LIMITED","Autoconer Tenter | V 3.0","12th","12 months","₹ 8000","50","Budni (SEHORE)"
"111","BIO SPUN PRIVATE LIMITED","Autoconer Tenter | V 3.0","12th","12 months","₹ 8000","50","Pithampur  (DHAR)"
"112","MARAL OVERSEAS LIMITED","Autoconer Tenter | V 3.0","12th","12 months","₹ 8000","50","KHALBUJURG (KHARGONE)"
"113","OSWAL WOOLLEN MILLS LTD.","Autoconer Tenter | V 3.0","12th","12 months","₹ 8000","50","Pilukhedi  (RAJGARH)"
"114","JAY BHARAT MARUTI LTD","Automotive Welding Machine Operator (Manual and Robotics)","12th","12 months","₹ 8000","50","GURGAON (GURUGRAM)"
"115","JAY BHARAT MARUTI LTD","Automotive Welding Machine Operator (Manual and Robotics)","12th","12 months","₹ 8000","50","GURGAON (GURUGRAM)"
"116","JAY BHARAT MARUTI LTD","Automotive Welding Machine Operator (Manual and Robotics)","12th","12 months","₹ 8000","50","VITHLAPUR (AHMADABAD)"
"117","DHOOT TRANSMISSION PRIVATE LTD","Assembly Line Operator","12th","12 months","₹ 8000","50","Pithampur (DHAR)"
"118","SIGMA INFOTECH","Computer Operator and Programming Assistant","12th","12 months","₹ 8000","50","Bhopal (BHOPAL)"
"119","BVG INDIA LIMITED","Office Assistant","12th","12 months","₹ 8000","50","Pune (PUNE)"
"120","JK TYRE & INDUSTRIES LIMITED","Mechanic Electrical Instruments","12th","12 months","₹ 8000","50","MORENA (MORENA)"
"121","VE COMMERCIAL VEHICLES LTD BUS BODY MFG UNIT","Mechanic (Denting, Painting and Welding)","12th","12 months","₹ 8000","50","BAGGAD (DHAR)"
"122","VE COMMERCIAL VEHICLES LTD BUS BODY MFG UNIT","Mechanic (Denting, Painting and Welding)","12th","12 months","₹ 8000","50","BAGGAD (DHAR)"
"123","ACE INFOTEXIS PRIVATE LIMITED","Marketing Associate Training","Graduate(Non-Engineering)","06 months","₹ 10000","50","Bhopal (BHOPAL)"
"124","RATAN EMPORIUM SECURITY SERVICES","House Keeper (Hotel)","12th","12 months","₹ 8000","50","indore (INDORE)"
"125","T & M SERVICES CONSULTING PRIVATE LIMITED","Industrial Electrician","12th","12 months","₹ 8000","50","SHAJAPUR (SHAJAPUR)"
"126","RATAN EMPORIUM SECURITY SERVICES","Packing Machine Worker- Food processing","12th","12 months","₹ 8000","50","indore (INDORE)"
"127","BVG INDIA LIMITED","Pick and Place Assembly Operator Version 2.0","12th","12 months","₹ 8000","50","Bhopal (BHOPAL)"
"128","MAHIMA FIBRES PRIVATE LIMITED","Ring Frame Operator","12th","12 months","₹ 8000","50","KASRAWAD (KHARGONE)"
"129","COMMERCIAL SYN BAGS LIMITED","Sewing Machine Operator","12th","12 months","₹ 8000","50","Pithampur (DHAR)"
"130","AADHAR SECURITY SOLUTIONS PRIVATE LIMITED","Security Guard","12th","12 months","₹ 8000","50","GWALIOR (GWALIOR)"
"131","RATAN EMPORIUM SECURITY SERVICES","Security Guard","12th","12 months","₹ 8000","50","indore (INDORE)"
"132","TRIDENT LIMITED","Ring frame doffer and tenter | V 2.0","12th","06 months","₹ 8000","50","BUDHNI (SEHORE)"
"133","BIO SPUN PRIVATE LIMITED","Ring frame doffer and tenter | V 2.0","12th","06 months","₹ 8000","50","Pithampur  (DHAR)"
"134","OSWAL WOOLLEN MILLS LTD.","Ring Frame Operator","12th","12 months","₹ 8000","50","Pilukhedi  (RAJGARH)"
"135","PRATAAP SNACKS LIMITED","Food Sales Promoter","12th","12 months","₹ 8000","50","INDORE (INDORE)"
"136","SIGMA INFOTECH","Domestic Data Entry Operator_V2","12th","12 months","₹ 8000","50","Bhopal (BHOPAL)"
"137","BHASKAR INDUSTRIES PRIVATE LIMITED","Shuttleless Loom Operator - Airjet Loom","12th","12 months","₹ 8000","50","bhopal (RAISEN)"
"138","OSWAL WOOLLEN MILLS LTD.","Speed Frame Operator - Tenter and Doffer | V 3.0","12th","12 months","₹ 8000","50","Pilukhedi  (RAJGARH)"
"139","VARDHMAN TEXTILES LIMITED","Speed Frame Operator - Tenter and Doffer | V 3.0","12th","12 months","₹ 8000","50","Budni (SEHORE)"
"140","TRANSERVE ADVISORS PRIVATE LIMITED","Stenographer (Hindi)","12th","12 months","₹ 8000","50","Bhopal (BHOPAL)"
"141","FLEXITUFF VENTURES INTERNATIONAL LIMITED","Textile Design","Diploma (Engineering)","12 months","₹ 9000","50","PITHAMPUR (DHAR)"
"142","VARDHMAN TEXTILES LIMITED","Textile Dyeing Machine Operator - Jigger","12th","12 months","₹ 8000","50","Budni (SEHORE)"
"143","DEEPAK FASTENERS LIMITED","Fitter","12th","12 months","₹ 8000","50","Sehore (SEHORE)"
"144","TRIDENT LIMITED","Winder (Textile)","12th","06 months","₹ 8000","50","BUDHNI (SEHORE)"
"145","OSWAL WOOLLEN MILLS LTD.","Weaving Technician","12th","12 months","₹ 8000","50","Pilukhedi  (RAJGARH)"
"146","VARDHMAN TEXTILES LIMITED","Textile Wet Processing Technician","12th","12 months","₹ 8000","50","Budni (SEHORE)"
"147","VARDHMAN TEXTILES LIMITED","TFO Tenter | V 3.0","12th","12 months","₹ 8000","50","Budni (SEHORE)"
"148","TRIDENT LIMITED","TFO Tenter | V 3.0","12th","12 months","₹ 8000","50","BUDHNI (SEHORE)"
"149","JK TYRE & INDUSTRIES LIMITED","Electronics Engineering","Graduate(Enginnering)","12 months","₹ 10000","49","MORENA (MORENA)"
"150","INNOVISION LIMITED","General Housekeeper (Household and Small Establishment) V2.0","12th","09 months","₹ 8000","48","Gurgaon (GURUGRAM)"
"151","ASHA CONFECTIONERY","Baking Technician/Operative","12th","09 months","₹ 8000","46","INDORE (AGAR MALWA)"
"152","OCS GROUP INDIA PRIVATE LIMITED","Packer","12th","12 months","₹ 8000","45","MALANPUR BHIND (BHIND)"
"153","TATA PROJECTS LIMITED","Helper Mason","12th","12 months","₹ 8000","45","BHIND (BHIND)"
"154","MADHYA PREADESH PASCHIM KSHETRA VIDYUT VITRAN COMPANY LIMITED","Electrician","12th","12 months","₹ 8000","43","Jhabua Circle  (JHABUA)"
"155","VACMET INDIA LIMITED","Fitter","12th","12 months","₹ 8000","43","Ujjaini Dhar (DHAR)"
"156","VE COMMERCIAL VEHICLES LTD BUS BODY MFG UNIT","Automotive Welding Machine Operator (Manual and Robotics)","12th","12 months","₹ 8000","42","BAGGAD (DHAR)"
"157","MADHYA PRADESH POORV KSHETRA VIDYUT VITARAN COMPANY LTD","Electrician","12th","12 months","₹ 8000","41","CHHINDWARA (CHHINDWARA)"
"158","MADHYA PRADESH POORV KSHETRA VIDYUT VITARAN COMPANY LTD","Electrician","12th","12 months","₹ 8000","41","REWA (REWA)"
"159","RAJ SECURITY FORCE LABOUR SUPPLIER PRIVATE LIMITED","House keeper (Institution)","12th","12 months","₹ 8000","41","BHOPAL (BHOPAL)"
"160","SAFEFLEX INTERNATIONAL LIMITED UNIT II","Loom Weaver and Twisting Operator (LWTO)","12th","12 months","₹ 8000","41","PITHAMPUR (DHAR)"
"161","SAGAR MANUFACTURERS PRIVATE LIMITED","Knitting Machine Operator Warp Knitting | V 3.0","12th","12 months","₹ 8000","40","Goharganj (RAISEN)"
"162","VE COMMERCIAL VEHICLES LIMITED","Mechanic Diesel","12th","12 months","₹ 8000","40","PITHAMPUR (DHAR)"
"163","VE COMMERCIAL VEHICLES LIMITED","Mechanic (Motor Vehicle)","12th","12 months","₹ 8000","40","PITHAMPUR (DHAR)"
"164","JCB INDIA LIMITED","Mechanical Engineering","Diploma (Engineering)","12 months","₹ 9000","40","Mahinda SEZ  (JAIPUR)"
"165","SANOH INDIA PRIVATE LIMITED","Operator (Steel Plant)","12th","12 months","₹ 8000","40","Dewas (DEWAS)"
"166","GODREJ CONSUMER PRODUCTS LTD.","Operator Material Handling Equipments at Raw Material Handling Plant","12th","12 months","₹ 8000","40","MALANPUR (BHIND)"
"167","VE COMMERCIAL VEHICLES LIMITED","Electrician","12th","12 months","₹ 8000","40","PITHAMPUR (DHAR)"
"168","LARSEN & TOUBRO LIMITED","Fitter structural","12th","12 months","₹ 8000","40","Ashoknagar (ASHOKNAGAR)"
"169","SAYAJI HOTELS LIMITED","Food & Beverage Service Assistant V 2.0","12th","12 months","₹ 8000","40","INDORE (INDORE)"
"170","SAGAR MANUFACTURERS PRIVATE LIMITED","Autoconer Tenter | V 3.0","12th","12 months","₹ 8000","40","Goharganj (RAISEN)"
"171","T & M SERVICES CONSULTING PRIVATE LIMITED","Assistant: Electricity Meter Reader, Billing and Cash Collector (PSS/Q2403)","12th","12 months","₹ 8000","40","SHAJAPUR (SHAJAPUR)"
"172","SHIVAM NARENDRA DUBEY","Associate IT Analyst","Graduate(Non-Engineering)","12 months","₹ 10000","40","Katni (KATNI)"
"173","VE COMMERCIAL VEHICLES LIMITED","Fitter","12th","12 months","₹ 8000","40","Dewas (DEWAS)"
"174","LARSEN & TOUBRO LIMITED","Carpenter","12th","12 months","₹ 8000","40","Guna (GUNA)"
"175","LARSEN & TOUBRO LIMITED","Carpenter","12th","12 months","₹ 8000","40","Guna (GUNA)"
"176","SAGAR MANUFACTURERS PRIVATE LIMITED","Speed Frame Operator - Tenter and Doffer | V 3.0","12th","12 months","₹ 8000","40","Goharganj (RAISEN)"
"177","SAGAR MANUFACTURERS PRIVATE LIMITED","Spinning Technician","12th","12 months","₹ 8000","40","Goharganj (RAISEN)"
"178","SEL MANUFACTURING COMPANY LTD","Ring frame doffer and tenter | V 2.0","12th","06 months","₹ 8000","40","MEHATWARA (SEHORE)"
"179","SANOH INDIA PRIVATE LIMITED","Quality Assurance Assistant","12th","12 months","₹ 8000","39","Dewas (DEWAS)"
"180","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Lineman","12th","12 months","₹ 8000","38","BHOPAL (BHOPAL)"
"181","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Electrician","12th","12 months","₹ 8000","38","BHOPAL (BHOPAL)"
"182","INNOVISION LIMITED","General Housekeeper (Household and Small Establishment) V2.0","12th","09 months","₹ 8000","37","Secunderabad (HYDERABAD)"
"183","CASE NEW HOLLAND CONSTRUCTION EQUIPMENT (INDIA) PRIVATE LIMITED","Automotive Assembly Technician v2.0","12th","12 months","₹ 8000","37","pithampur (DHAR)"
"184","SAFEFLEX INTERNATIONAL LIMITED","Loom Weaver and Twisting Operator (LWTO)","12th","12 months","₹ 8000","37","PITHAMPUR (DHAR)"
"185","MADHYA PRADESH POORV KSHETRA VIDYUT VITARAN COMPANY LTD","Electrician","12th","12 months","₹ 8000","36","SATNA (SATNA)"
"186","NAHAR SPINNING MILLS LTD.","Ring frame doffer and tenter V 2.0","12th","12 months","₹ 8000","35","SIMRAI MANDIDEEP (RAISEN)"
"187","NAHAR SPINNING MILLS LTD.","Ring Frame Operator","12th","12 months","₹ 8000","35","SIMRAI MANDIDEEP (RAISEN)"
"188","MADHYA PREADESH PASCHIM KSHETRA VIDYUT VITRAN COMPANY LIMITED","Electrician","12th","12 months","₹ 8000","34","Burhanpur Circle  (BURHANPUR)"
"189","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Electrician","12th","12 months","₹ 8000","33","BETUL (BETUL)"
"190","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Lineman","12th","12 months","₹ 8000","32","BETUL (BETUL)"
"191","MADHYA PRADESH POORV KSHETRA VIDYUT VITARAN COMPANY LTD","Electrician","12th","12 months","₹ 8000","31","SAGAR (SAGAR)"
"192","NAVA BHARATH FERTILIZERS LIMITED","Agriculture Field Officer","12th","12 months","₹ 8000","31","SHAJAPUR (SHAJAPUR)"
"193","NAVA BHARATH FERTILIZERS LIMITED","Agriculture Field Officer","12th","12 months","₹ 8000","31","UJJAIN (UJJAIN)"
"194","MADHYA PRADESH POWER GENERATING COMPANY LIMITED","Accounts Executive","Graduate(Non-Engineering)","12 months","₹ 10000","31","jabalpur (JABALPUR)"
"195","BHOPAL DUGDH SANGH SAHAKARI MARYADIT","Dairy Processing EquipmentOperator","12th","09 months","₹ 8000","31","BHOPAL (BHOPAL)"
"196","SUN PHARMACEUTICAL INDUSTRIES LTD","Assistant Manufacturing and Packaging (Pharma, Biologics, and Medical device)","12th","12 months","₹ 8000","30","Dewas (DEWAS)"
"197","IPCA LABORATORIES LIMITED","Assistant Manufacturing and Packaging (Pharma, Biologics, and Medical device)","12th","12 months","₹ 8000","30","Pithampur (DHAR)"
"198","VE COMMERCIAL VEHICLES LIMITED","Automotive CNC Machining Technician","12th","12 months","₹ 8000","30","PITHAMPUR (DHAR)"
"199","ANNOVA SOLUTIONS PRIVATE LIMITED","Associate Customer Care-Voice & Non-Voice_V3","12th","09 months","₹ 8000","30","Indore (INDORE)"
"200","MADHYA PREADESH PASCHIM KSHETRA VIDYUT VITRAN COMPANY LIMITED","Electrician","12th","12 months","₹ 8000","30","Barwani Circle  (BARWANI)"
"201","BRAIN BRIDGE TECHNICAL CENTER LLP","Domestic Data Entry Operator_V2","12th","12 months","₹ 8000","30","BEGUMGANJ (RAISEN)"
"202","SAGAR MANUFACTURERS PRIVATE LIMITED","Draw Frame Operator | V 3.0","12th","12 months","₹ 8000","30","Goharganj (RAISEN)"
"203","DURGESH INDUSTRIAL SECURITY PRIVATE LIMITED","General Housekeeper (Household and Small Establishment) V2.0","12th","09 months","₹ 8000","30","Indore (INDORE)"
"204","SAFEGUARD DETECTIVE & MANPOWER SOLUTIONS PRIVATE LIMITED","General Housekeeper (Household and Small Establishment) V2.0","12th","09 months","₹ 8000","30","Indore (INDORE)"
"205","Shri Aurobindo Institute Of Medical Sciences","General Duty Assistant V2.0","12th","12 months","₹ 8000","30","INDORE (INDORE)"
"206","CUMMINS TECHNOLOGIES INDIA PRIVATE LIMITED","Fitter - Mechanical Assembly","12th","12 months","₹ 8000","30","DEWAS (DEWAS)"
"207","BLUGENT HOSPITALITY PRIVATE LIMITED","Food Sales Promoter","12th","12 months","₹ 8000","30","Gwalior (GWALIOR)"
"208","BLUGENT HOSPITALITY PRIVATE LIMITED","Food Sales Promoter","12th","12 months","₹ 8000","30","Indore (INDORE)"
"209","VE COMMERCIAL VEHICLES LIMITED","Machinist","12th","12 months","₹ 8000","30","PITHAMPUR (DHAR)"
"210","SAPTARISHI HERBALS LIMITED LIABILITY PARTNERSHIP","Marketing Associate Training","Graduate(Non-Engineering)","06 months","₹ 10000","30","INDORE (INDORE)"
"211","RATAN EMPORIUM SECURITY SERVICES","House Keeper (Hotel)","12th","12 months","₹ 8000","30","Bhopal (BHOPAL)"
"212","VE COMMERCIAL VEHICLES LIMITED","Mechanic (Denting, Painting and Welding)","12th","12 months","₹ 8000","30","PITHAMPUR (DHAR)"
"213","GABRIEL INDIA LIMITED","Material Handling Equipment Mechanic-cum-Operator","12th","12 months","₹ 8000","30","Dewas (DEWAS)"
"214","CHIRANJI  LAL","Mate (Mines)","12th","12 months","₹ 8000","30","Sihora (JABALPUR)"
"215","CAPARO ENGINEERING INDIA LIMITED","Quality Assurance Assistant","12th","12 months","₹ 8000","30","Dewas (DEWAS)"
"216","WORLDWIDE SMALL DIAMONDS MANUFACTURING PRIVATE LIMITED","Planner_Version 2.0","12th","12 months","₹ 8000","30","BHOPAL (BHOPAL)"
"217","THE SUPREME INDUSTRIES LIMITED","Plastic Mould Maker","12th","12 months","₹ 8000","30","MALANPUR (BHIND)"
"218","CANDOR TEXTILES PVT LTD","Operator Material Handling Equipments at Raw Material Handling Plant","12th","12 months","₹ 8000","30","INDORE (INDORE)"
"219","AAKASH GLOBAL FOODS PRIVATE LIMITED","Packing Machine Worker- Food processing","12th","12 months","₹ 8000","30","INDORE (INDORE)"
"220","FLEXITUFF VENTURES INTERNATIONAL LIMITED","Winder (Textile)","12th","06 months","₹ 8000","30","PITHAMPUR (DHAR)"
"221","VE COMMERCIAL VEHICLES LIMITED","Welder (Gas and Electric)","12th","12 months","₹ 8000","30","PITHAMPUR (DHAR)"
"222","SAFEGUARD DETECTIVE & MANPOWER SOLUTIONS PRIVATE LIMITED","Elderly Caretaker (Non-Clinical) V2.0","12th","09 months","₹ 8000","30","Bhopal (BHOPAL)"
"223","SAFEGUARD DETECTIVE & MANPOWER SOLUTIONS PRIVATE LIMITED","Elderly Caretaker (Non-Clinical) V2.0","12th","09 months","₹ 8000","30","Chhindwara (CHHINDWARA)"
"224","SAFEGUARD DETECTIVE & MANPOWER SOLUTIONS PRIVATE LIMITED","Elderly Caretaker (Non-Clinical) V2.0","12th","09 months","₹ 8000","30","Betul (BETUL)"
"225","DURGESH INDUSTRIAL SECURITY PRIVATE LIMITED","Elderly Caretaker (Non-Clinical) V2.0","12th","09 months","₹ 8000","30","Bhopal (BHOPAL)"
"226","DURGESH INDUSTRIAL SECURITY PRIVATE LIMITED","Elderly Caretaker (Non-Clinical) V2.0","12th","09 months","₹ 8000","30","Itarsi (HOSHANGABAD)"
"227","SWARA BABY PRODUCTS PRIVATE LIMITED","Lino Operator","12th","12 months","₹ 8000","30","Pithampur (DHAR)"
"228","SHREE TIRUPATI BALAJEE FIBC LIMITED","Finisher and Packer AMH_Q2255 V 2.0","12th","12 months","₹ 8000","30","Pithampur (DHAR)"
"229","MARAL OVERSEAS LIMITED","Speed Frame Operator - Tenter and Doffer | V 3.0","12th","12 months","₹ 8000","30","KHALBUJURG (KHARGONE)"
"230","ALVEOR PLASTIC TECHNOLOGIES PRIVATE LIMITED","Textile Design","Diploma (Engineering)","12 months","₹ 9000","30","PITHAMPUR (DHAR)"
"231","ALVEOR PLASTIC TECHNOLOGIES PRIVATE LIMITED","Textile Technology","Diploma (Engineering)","12 months","₹ 9000","30","PITHAMPUR (DHAR)"
"232","SEL MANUFACTURING COMPANY LTD","Ring Frame Operator","12th","12 months","₹ 8000","30","MEHATWARA (SEHORE)"
"233","BALAJI WAFERS PRIVATE LIMITED","Process Plant Operator","12th","12 months","₹ 8000","30","INDORE (INDORE)"
"234","SUN PHARMACEUTICAL INDUSTRIES LTD","Production Machine Operator-Non-Sterile Formulation: Compression, Packaging- Tablets and Capsules","12th","12 months","₹ 8000","30","Dewas (DEWAS)"
"235","SUN PHARMACEUTICAL INDUSTRIES LTD","Production Machine Operator-Non-Sterile Formulation: Compression, Packaging- Tablets and Capsules","12th","12 months","₹ 8000","30","Dewas (DEWAS)"
"236","RAJ SECURITY FORCE LABOUR SUPPLIER PRIVATE LIMITED","Office Assistant","12th","12 months","₹ 8000","30","BHOPAL (BHOPAL)"
"237","MADHYA PRADESH POWER GENERATING COMPANY LIMITED","Draughtsman (Civil)","12th","12 months","₹ 8000","28","SARNI  (BETUL)"
"238","VIJENDRA KUMAR TIWARI","Security Guard","12th","12 months","₹ 8000","28","Indore (INDORE)"
"239","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Electrical Engineering","Diploma (Engineering)","12 months","₹ 9000","28","BHOPAL (BHOPAL)"
"240","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Electrician","12th","12 months","₹ 8000","27","RAJGARH (RAJGARH)"
"241","NAHAR SPINNING MILLS LTD.","Speed Frame Operator - Tenter and Doffer | V 3.0","12th","12 months","₹ 8000","27","SIMRAI MANDIDEEP (RAISEN)"
"242","MADHYA PRADESH POORV KSHETRA VIDYUT VITARAN COMPANY LTD","Electrician","12th","12 months","₹ 8000","26","JABALPUR ONM (JABALPUR)"
"243","KARUNAKARA REDDY NANDALURI","Helper Electrician","12th","12 months","₹ 8000","26","Indore (INDORE)"
"244","TRENDS APPAREL PRIVATE LIMITED","Cutting and Sewing Machine Operator","12th","12 months","₹ 8000","26","Indore (INDORE)"
"245","PRAVESH ASSOCIATES & LABOUR SUPPLIER","Packer","12th","12 months","₹ 8000","26","Malanpur (BHIND)"
"246","WORLDWIDE SMALL DIAMONDS MANUFACTURING PRIVATE LIMITED","Polisher and Cleaner _G&J/Q0701_Version 3.0","12th","12 months","₹ 8000","26","BHOPAL (BHOPAL)"
"247","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Lineman","12th","12 months","₹ 8000","26","RAJGARH (RAJGARH)"
"248","Hindusthan Urban Infrastructure Limited","Fitter","12th","12 months","₹ 8000","26","MANDIDEEP (RAISEN)"
"249","COMMERCIAL SYN BAGS LIMITED","Sewing Machine Operator","12th","12 months","₹ 8000","26","Pithampur (DHAR)"
"250","FLEXITUFF VENTURES INTERNATIONAL LIMITED","Knitting Machine Operator Warp Knitting | V 3.0","12th","12 months","₹ 8000","25","PITHAMPUR (DHAR)"
"251","VE COMMERCIAL VEHICLES LTD BUS BODY MFG UNIT","Mechanic (Motor Vehicle)","12th","12 months","₹ 8000","25","BAGGAD (DHAR)"
"252","VE COMMERCIAL VEHICLES LTD BUS BODY MFG UNIT","Mechanic (Motor Vehicle)","12th","12 months","₹ 8000","25","BAGGAD (DHAR)"
"253","Shri Aurobindo Institute Of Medical Sciences","Medical Laboratory Technician (Physiotherapy)","12th","12 months","₹ 8000","25","INDORE (INDORE)"
"254","MADHYA PREADESH PASCHIM KSHETRA VIDYUT VITRAN COMPANY LIMITED","Office Operations Executive(Back Office)","12th","12 months","₹ 8000","25","Ujjain Circle (UJJAIN)"
"255","INNOVISION LIMITED","Customer Care Executive-Domestic- Voice_V3","12th","12 months","₹ 8000","25","Indore (BHOPAL)"
"256","NICT TECHNOLOGIES PRIVATE LIMITED","Associate Customer Care-Voice & Non-Voice_V3","12th","09 months","₹ 8000","25","Indore (INDORE)"
"257","FORCE MOTORS LIMITED","Automotive Accessory Fitter","12th","12 months","₹ 8000","25","Pithampur  (DHAR)"
"258","CIPLA LIMITED","Assistant Manufacturing and Packaging (Pharma, Biologics, and Medical device)","12th","12 months","₹ 8000","25","Pithampur (DHAR)"
"259","NAVA BHARATH FERTILIZERS LIMITED","Agriculture Field Officer","12th","12 months","₹ 8000","25","RAJGRAH ALL (RAJGARH)"
"260","HITECH BUTTERFLY VALVES INDIA PRIVATE LIMITED","Assistant - Machinist - Iron and Steel","12th","12 months","₹ 8000","25","DHAR (DHAR)"
